云南频道,#genre#
深圳卫视,http://106.59.3.171:55555/rtp/239.200.200.67:8776$云南电信-组播1
四川卫视,http://106.59.3.171:55555/udp/239.200.201.137:8796$云南电信-组播1
东南卫视,http://106.59.3.171:55555/udp/239.200.201.69:8764$云南电信-组播1
甘肃卫视,http://106.59.3.171:55555/udp/239.200.200.186:8356$云南电信-组播1
广东卫视,http://106.59.3.171:55555/udp/239.200.201.35:8768$云南电信-组播1
山东卫视,http://106.59.3.171:55555/rtp/239.200.200.168:8748$云南电信-组播1
贵州卫视,http://106.59.3.171:55555/udp/239.200.201.119:8788$云南电信-组播1
海南卫视,http://106.59.3.171:55555/udp/239.200.201.159:8408$云南电信-组播1
河南卫视,http://106.59.3.171:55555/udp/239.200.201.158:8412$云南电信-组播1
天津卫视,http://106.59.3.171:55555/udp/239.200.200.69:1234$云南电信-组播1
黑龙江卫视,http://106.59.3.171:55555/rtp/239.200.200.66:8016$云南电信-组播1
辽宁卫视,http://106.59.3.171:55555/udp/239.200.200.167:8736$云南电信-组播1
内蒙卫视,http://106.59.3.171:55555/rtp/239.200.200.57:8296$云南电信-组播1
广西卫视,http://106.59.3.171:55555/rtp/239.200.200.53:8280$云南电信-组播1
重庆卫视,http://106.59.3.171:55555/rtp/239.200.200.49:8264$云南电信-组播1
宁夏卫视,http://106.59.3.171:55555/rtp/239.200.200.60:8308$云南电信-组播1
青海卫视,http://106.59.3.171:55555/rtp/239.200.200.58:8300$云南电信-组播1
山西卫视,http://106.59.3.171:55555/rtp/239.200.200.56:8292$云南电信-组播1
陕西卫视,http://106.59.3.171:55555/rtp/239.200.200.55:8288$云南电信-组播1
新疆卫视,http://106.59.3.171:55555/rtp/239.200.200.62:8316$云南电信-组播1
西藏卫视,http://106.59.3.171:55555/rtp/239.200.200.61:8312$云南电信-组播1
三沙卫视,http://106.59.3.171:55555/rtp/239.200.201.136:8140$云南电信-组播1
山东教育卫视,http://106.59.3.171:55555/rtp/239.200.201.77:8132$云南电信-组播1
CCTV-4美洲,http://106.59.3.171:55555/rtp/239.200.201.181:4220$云南电信-组播1
CCTV-4欧洲,http://106.59.3.171:55555/rtp/239.200.201.180:4220$云南电信-组播1
CETV1,http://106.59.3.171:55555/udp/239.200.201.49:8756$云南电信-组播1
CETV2,http://106.59.3.171:55555/rtp/239.200.201.121:8780$云南电信-组播1
CETV4,http://106.59.3.171:55555/rtp/239.200.201.122:8784$云南电信-组播1
CGTN英语,http://106.59.3.171:55555/udp/239.200.200.30:8500$云南电信-组播1
CGTN英语,http://106.59.3.171:55555/udp/239.200.201.182:4220$云南电信-组播1
CGTN纪录,http://106.59.3.171:55555/udp/239.200.201.183:4220$云南电信-组播1
CGTN阿拉伯语,http://106.59.3.171:55555/udp/239.200.201.186:4220$云南电信-组播1
CGTN俄语,http://106.59.3.171:55555/udp/239.200.201.187:4220$云南电信-组播1
CGTN西班牙语,http://106.59.3.171:55555/udp/239.200.201.184:4220$云南电信-组播1
CGTN法语,http://106.59.3.171:55555/rtp/239.200.201.185:4220$云南电信-组播1
北京纪实科教,http://106.59.3.171:55555/rtp/239.200.200.147:8728$云南电信-组播1
金鹰纪实,http://106.59.3.171:55555/rtp/239.200.201.126:8840$云南电信-组播1
金鹰卡通,http://106.59.3.171:55555/rtp/239.200.200.65:8328$云南电信-组播1
快乐垂钓,http://106.59.3.171:55555/rtp/239.200.200.103:8400$云南电信-组播1
茶频道,http://106.59.3.171:55555/rtp/239.200.201.36:8404$云南电信-组播1
河南梨园频道,http://106.59.3.171:55555/rtp/239.200.200.101:8048$云南电信-组播1
河南文物宝库,http://106.59.3.171:55555/rtp/239.200.200.96:8112$云南电信-组播1
河南武术世界,http://106.59.3.171:55555/rtp/239.200.200.90:8064$云南电信-组播1
中国交通,http://106.59.3.171:55555/udp/239.200.201.138:8556$云南电信-组播1
华数电影1,http://106.59.3.171:55555/udp/239.200.200.77:9016$云南电信-组播1
华数电影2,http://106.59.3.171:55555/udp/239.200.200.73:9024$云南电信-组播1
华数电视剧1,http://106.59.3.171:55555/rtp/239.200.200.72:9020$云南电信-组播1
华数电视剧2,http://106.59.3.171:55555/udp/239.200.200.74:9012$云南电信-组播1
华数电视剧3,http://106.59.3.171:55555/udp/239.200.200.11:8072$云南电信-组播1
华数电视剧4,http://106.59.3.171:55555/rtp/239.200.200.78:1234$云南电信-组播1
华数动漫,http://106.59.3.171:55555/rtp/239.200.200.75:9000$云南电信-组播1
先锋乒羽,http://106.59.3.171:55555/rtp/239.200.201.33:4120$云南电信-组播1
卡酷少儿,http://106.59.3.171:55555/rtp/239.200.200.64:8324$云南电信-组播1
新动漫,http://106.59.3.171:55555/rtp/239.200.201.32:4120$云南电信-组播1
重庆汽摩,http://106.59.3.171:55555/rtp/239.200.200.98:8052$云南电信-组播1
IPTV1,http://106.59.3.171:55555/udp/239.200.200.81:1234$云南电信-组播1
IPTV2,http://106.59.3.171:55555/rtp/239.200.200.79:1234$云南电信-组播1
IPTV3,http://106.59.3.171:55555/udp/239.200.200.76:9004$云南电信-组播1
IPTV4,http://106.59.3.171:55555/rtp/239.200.200.71:8012$云南电信-组播1
IPTV5,http://106.59.3.171:55555/udp/239.200.201.5:4120$云南电信-组播1
IPTV6,http://106.59.3.171:55555/udp/239.200.201.81:4120$云南电信-组播1
IPTV7,http://106.59.3.171:55555/rtp/239.200.200.10:9008$云南电信-组播1
IPTV10,http://106.59.3.171:55555/rtp/239.200.200.80:1234$云南电信-组播1

内蒙古频道,#genre#
内蒙古卫视,http://123.179.62.61:4022/rtp/239.29.0.2:5000$内蒙古电信-组播1
内蒙古蒙语频道,http://123.179.62.61:4022/rtp/239.29.0.210:5000$内蒙古电信-组播1
内蒙古经济生活,http://123.179.62.61:4022/rtp/239.29.0.212:5000$内蒙古电信-组播1
内蒙古新闻综合,http://123.179.62.61:4022/rtp/239.29.0.208:5000$内蒙古电信-组播1
内蒙古文体娱乐,http://123.179.62.61:4022/rtp/239.29.0.211:5000$内蒙古电信-组播1
内蒙古农牧频道,http://123.179.62.61:4022/rtp/239.29.0.209:5000$内蒙古电信-组播1
内蒙古少儿频道,http://123.179.62.61:4022/rtp/239.29.0.207:5000$内蒙古电信-组播1
CCTV-1综合,http://123.179.62.61:4022/rtp/239.29.0.113:5000$内蒙古电信-组播1
CCTV-2财经,http://123.179.62.61:4022/rtp/239.29.0.116:5000$内蒙古电信-组播1
CCTV-3综艺,http://123.179.62.61:4022/rtp/239.29.1.133:5000$内蒙古电信-组播1
CCTV-4中文国际,http://123.179.62.61:4022/rtp/239.29.0.87:5000$内蒙古电信-组播1
CCTV-5体育,http://123.179.62.61:4022/rtp/239.29.1.134:5000$内蒙古电信-组播1
CCTV-5+体育赛事,http://123.179.62.61:4022/rtp/239.29.1.10:5001$内蒙古电信-组播1
CCTV-6电影,http://123.179.62.61:4022/rtp/239.29.1.135:5000$内蒙古电信-组播1
CCTV-7国防军事,http://123.179.62.61:4022/rtp/239.29.0.117:5000$内蒙古电信-组播1
CCTV-8电视剧,http://123.179.62.61:4022/rtp/239.29.1.136:5000$内蒙古电信-组播1
CCTV-9纪录,http://123.179.62.61:4022/rtp/239.29.0.118:5000$内蒙古电信-组播1
CCTV-10科教,http://123.179.62.61:4022/rtp/239.29.0.119:5000$内蒙古电信-组播1
CCTV-11戏曲,http://123.179.62.61:4022/rtp/239.29.0.205:5000$内蒙古电信-组播1
CCTV-12社会与法,http://123.179.62.61:4022/rtp/239.29.0.120:5000$内蒙古电信-组播1
CCTV-13新闻,http://123.179.62.61:4022/rtp/239.29.1.123:5000$内蒙古电信-组播1
CCTV-14少儿,http://123.179.62.61:4022/rtp/239.29.0.121:5000$内蒙古电信-组播1
CCTV-15音乐,http://123.179.62.61:4022/rtp/239.29.0.206:5000$内蒙古电信-组播1
CCTV-16奥林匹克,http://123.179.62.61:4022/rtp/239.29.1.146:5000$内蒙古电信-组播1
CCTV-16奥林匹克4K,http://123.179.62.61:4022/rtp/239.29.1.149:5000$内蒙古电信-组播1
CCTV-17农业农村,http://123.179.62.61:4022/rtp/239.29.1.145:5000$内蒙古电信-组播1
北京卫视,http://123.179.62.61:4022/rtp/239.29.0.108:5000$内蒙古电信-组播1
天津卫视,http://123.179.62.61:4022/rtp/239.29.0.98:5000$内蒙古电信-组播1
湖南卫视,http://123.179.62.61:4022/rtp/239.29.0.90:5000$内蒙古电信-组播1
湖北卫视,http://123.179.62.61:4022/rtp/239.29.0.107:5000$内蒙古电信-组播1
东方卫视,http://123.179.62.61:4022/rtp/239.29.0.97:5000$内蒙古电信-组播1
江苏卫视,http://123.179.62.61:4022/rtp/239.29.0.102:5000$内蒙古电信-组播1
浙江卫视,http://123.179.62.61:4022/rtp/239.29.0.96:5000$内蒙古电信-组播1
山东卫视,http://123.179.62.61:4022/rtp/239.29.0.106:5000$内蒙古电信-组播1
安徽卫视,http://123.179.62.61:4022/rtp/239.29.0.81:5000$内蒙古电信-组播1
东南卫视,http://123.179.62.61:4022/rtp/239.29.0.103:5000$内蒙古电信-组播1
广东卫视,http://123.179.62.61:4022/rtp/239.29.0.123:5000$内蒙古电信-组播1
辽宁卫视,http://123.179.62.61:4022/rtp/239.29.0.109:5000$内蒙古电信-组播1
吉林卫视,http://123.179.62.61:4022/rtp/239.29.1.125:5000$内蒙古电信-组播1
贵州卫视,http://123.179.62.61:4022/rtp/239.29.0.104:5000$内蒙古电信-组播1
四川卫视,http://123.179.62.61:4022/rtp/239.29.0.100:5000$内蒙古电信-组播1
深圳卫视,http://123.179.62.61:4022/rtp/239.29.0.105:5000$内蒙古电信-组播1
重庆卫视,http://123.179.62.61:4022/rtp/239.29.0.99:5000$内蒙古电信-组播1
河北卫视,http://123.179.62.61:4022/rtp/239.29.0.124:5000$内蒙古电信-组播1
海南卫视,http://123.179.62.61:4022/rtp/239.29.1.126:5000$内蒙古电信-组播1
甘肃卫视,http://123.179.62.61:4022/rtp/239.29.1.124:5000$内蒙古电信-组播1
黑龙江卫视,http://123.179.62.61:4022/rtp/239.29.0.91:5000$内蒙古电信-组播1
河南卫视,http://123.179.62.61:4022/rtp/239.29.1.69:5001$内蒙古电信-组播1
广西卫视,http://123.179.62.61:4022/rtp/239.29.1.57:5001$内蒙古电信-组播1
江西卫视,http://123.179.62.61:4022/rtp/239.29.0.125:5000$内蒙古电信-组播1
云南卫视,http://123.179.62.61:4022/rtp/239.29.0.76:5000$内蒙古电信-组播1
山西卫视,http://123.179.62.61:4022/rtp/239.29.1.55:5001$内蒙古电信-组播1
陕西卫视,http://123.179.62.61:4022/rtp/239.29.1.86:5001$内蒙古电信-组播1
宁夏卫视,http://123.179.62.61:4022/rtp/239.29.0.80:5000$内蒙古电信-组播1
青海卫视,http://123.179.62.61:4022/rtp/239.29.1.87:5001$内蒙古电信-组播1
西藏卫视,http://123.179.62.61:4022/rtp/239.29.1.79:5001$内蒙古电信-组播1
新疆卫视,http://123.179.62.61:4022/rtp/239.29.1.59:5001$内蒙古电信-组播1
兵团卫视,http://123.179.62.61:4022/rtp/239.29.1.34:5001$内蒙古电信-组播1
三沙卫视,http://123.179.62.61:4022/rtp/239.29.1.121:5000$内蒙古电信-组播1
CETV1,http://123.179.62.61:4022/rtp/239.29.0.95:5000$内蒙古电信-组播1
CETV2,http://123.179.62.61:4022/rtp/239.29.0.139:5000$内蒙古电信-组播1
CCTV-4欧洲,http://123.179.62.61:4022/rtp/239.29.1.144:5000$内蒙古电信-组播1
CCTV-4美洲,http://123.179.62.61:4022/rtp/239.29.1.142:5000$内蒙古电信-组播1
CGTN英语,http://123.179.62.61:4022/rtp/239.29.1.143:5000$内蒙古电信-组播1
山东教育卫视,http://123.179.62.61:4022/rtp/239.29.1.96:5001$内蒙古电信-组播1
北京纪实科教,http://123.179.62.61:4022/rtp/239.29.0.110:5000$内蒙古电信-组播1
北京卡酷少儿,http://123.179.62.61:4022/rtp/239.29.1.41:5001$内蒙古电信-组播1
金鹰纪实,http://123.179.62.61:4022/rtp/239.29.0.92:5000$内蒙古电信-组播1
金鹰卡通,http://123.179.62.61:4022/rtp/239.29.1.85:5001$内蒙古电信-组播1
嘉佳卡通,http://123.179.62.61:4022/rtp/239.29.0.126:5000$内蒙古电信-组播1
优漫卡通,http://123.179.62.61:4022/rtp/239.29.0.127:5000$内蒙古电信-组播1
哈哈炫动,http://123.179.62.61:4022/rtp/239.29.0.128:5000$内蒙古电信-组播1
呼市新闻综合,http://123.179.62.61:4022/rtp/239.29.0.35:5000$内蒙古电信-组播1
呼市影视娱乐,http://123.179.62.61:4022/rtp/239.29.0.37:5000$内蒙古电信-组播1
包头经济频道,http://123.179.62.61:4022/rtp/239.29.0.204:5000$内蒙古电信-组播1
包头生活服务,http://123.179.62.61:4022/rtp/239.29.0.112:5000$内蒙古电信-组播1
包头新闻综合,http://123.179.62.61:4022/rtp/239.29.0.111:5000$内蒙古电信-组播1
