20组播,#genre#
CHC影迷电影,http://s.zssss.eu.org:888/udp/239.94.1.174:5140$四川电信-组播1
CHC动作电影,http://s.zssss.eu.org:888/udp/239.94.1.175:5140$四川电信-组播1
中国交通,http://s.zssss.eu.org:888/udp/239.94.0.87:5140$四川电信-组播1
中国天气,http://s.zssss.eu.org:888/udp/239.94.1.167:5140$四川电信-组播1
华数经典电影,http://s.zssss.eu.org:888/udp/239.94.1.21:5140$四川电信-组播1
华数热播剧场,http://s.zssss.eu.org:888/udp/239.94.1.25:5140$四川电信-组播1
华数魅力时尚,http://s.zssss.eu.org:888/udp/239.94.1.39:5140$四川电信-组播1
华数少儿动画,http://s.zssss.eu.org:888/udp/239.94.1.33:5140$四川电信-组播1
华数谍战剧场,http://s.zssss.eu.org:888/udp/239.94.1.28:5140$四川电信-组播1
iHOT爱谍战,http://s.zssss.eu.org:888/udp/239.94.1.134:5140$四川电信-组播1
iHOT爱动漫,http://s.zssss.eu.org:888/udp/239.94.1.141:5140$四川电信-组播1
iHOT爱科幻,http://s.zssss.eu.org:888/udp/239.94.1.131:5140$四川电信-组播1
iHOT爱浪漫,http://s.zssss.eu.org:888/udp/239.94.1.128:5140$四川电信-组播1
iHOT爱历史,http://s.zssss.eu.org:888/udp/239.94.1.135:5140$四川电信-组播1
iHOT爱旅行,http://s.zssss.eu.org:888/udp/239.94.1.137:5140$四川电信-组播1
iHOT爱奇谈,http://s.zssss.eu.org:888/udp/239.94.1.130:5140$四川电信-组播1
iHOT爱赛车,http://s.zssss.eu.org:888/udp/239.94.1.144:5140$四川电信-组播1
iHOT爱体育,http://s.zssss.eu.org:888/udp/239.94.1.44:5140$四川电信-组播1
iHOT爱体育,http://s.zssss.eu.org:888/udp/239.94.1.143:5140$四川电信-组播1
iHOT爱玩具,http://s.zssss.eu.org:888/udp/239.94.1.140:5140$四川电信-组播1
iHOT爱喜剧,http://s.zssss.eu.org:888/udp/239.94.1.129:5140$四川电信-组播1
iHOT爱喜剧,http://s.zssss.eu.org:888/udp/239.94.2.71:5140$四川电信-组播1
iHOT爱悬疑,http://s.zssss.eu.org:888/udp/239.94.1.136:5140$四川电信-组播1
iHOT爱幼教,http://s.zssss.eu.org:888/udp/239.94.1.139:5140$四川电信-组播1
iHOT爱院线,http://s.zssss.eu.org:888/udp/239.94.1.132:5140$四川电信-组播1
爱生活高清专区,http://s.zssss.eu.org:888/udp/239.94.1.41:5140$四川电信-组播1
爱宠宠物专区,http://s.zssss.eu.org:888/udp/239.94.1.145:5140$四川电信-组播1
爱上4K,http://s.zssss.eu.org:888/udp/239.94.0.21:5140$四川电信-组播1
浙江电竞天堂,http://s.zssss.eu.org:888/udp/239.94.1.45:5140$四川电信-组播1
江苏优漫卡通,http://s.zssss.eu.org:888/udp/239.94.1.31:5140$四川电信-组播1
北京四海钓鱼,http://s.zssss.eu.org:888/udp/239.94.1.168:5140$四川电信-组播1
北京环球旅游,http://s.zssss.eu.org:888/udp/239.94.1.147:5140$四川电信-组播1
北京戏曲,http://s.zssss.eu.org:888/udp/239.94.1.38:5140$四川电信-组播1
北京纪实科教,http://s.zssss.eu.org:888/udp/239.94.0.109:5140$四川电信-组播1
北京卡酷少儿,http://s.zssss.eu.org:888/udp/239.94.1.29:5140$四川电信-组播1
山西书画频道,http://s.zssss.eu.org:888/udp/239.94.1.163:5140$四川电信-组播1
呼和浩特足球,http://s.zssss.eu.org:888/udp/239.94.1.47:5140$四川电信-组播1
辽宁家庭理财,http://s.zssss.eu.org:888/udp/239.94.1.50:5140$四川电信-组播1
上海东方财经,http://s.zssss.eu.org:888/udp/239.94.1.59:5140$四川电信-组播1
上海动漫秀场,http://s.zssss.eu.org:888/udp/239.94.1.171:5140$四川电信-组播1
上海游戏风云,http://s.zssss.eu.org:888/udp/239.94.1.46:5140$四川电信-组播1
上海乐游,http://s.zssss.eu.org:888/udp/239.94.1.164:5140$四川电信-组播1
上海法治天地,http://s.zssss.eu.org:888/udp/239.94.1.166:5140$四川电信-组播1
上海都市剧场,http://s.zssss.eu.org:888/udp/239.94.1.133:5140$四川电信-组播1
上海多彩文体4K,http://s.zssss.eu.org:888/udp/239.94.1.176:5140$四川电信-组播1
上海金色学堂,http://s.zssss.eu.org:888/udp/239.94.1.165:5140$四川电信-组播1
上海生活时尚,http://s.zssss.eu.org:888/udp/239.94.1.40:5140$四川电信-组播1
上海生活时尚,http://s.zssss.eu.org:888/udp/239.94.1.146:5140$四川电信-组播1
